Kipangani,8,1,adminPemba
Mtambwe Kaskazini,8,1,adminPemba
Fundo,8,1,adminPemba
Mchanga Mdogo,8,1,adminPemba
Kambini,8,1,adminPemba
Kojani,8,1,adminPemba
Kangagani,8,1,adminPemba
Kiungoni,8,1,adminPemba
Piki,8,1,adminPemba
Kisiwani,8,1,adminPemba
Gando,8,1,adminPemba
Ukunjwi,8,1,adminPemba
Pandani,8,1,adminPemba
Shengejuu,8,1,adminPemba
Bopwe,8,1,adminPemba
Utaani,8,1,adminPemba
Mtambwe Kusini,8,1,adminPemba
Jadida,8,1,adminPemba
Kizimbani,8,1,adminPemba
Minungwini,8,1,adminPemba
Selem,8,1,adminPemba
Limbani,8,1,adminPemba
Junguni,8,1,adminPemba
Chwale,8,1,adminPemba
Mpambani,8,1,adminPemba
Mzambarau Takao,8,1,adminPemba
Pembeni,8,1,adminPemba
Kigongoni,8,1,adminPemba
Maziwani,8,1,adminPemba
Kinyikani,8,1,adminPemba
Mtemani,8,1,adminPemba
Mgogoni,8,1,adminPemba
Finya,8,1,adminPemba
Kinyasini,8,1,adminPemba
Mjananza,8,1,adminPemba
Mlindo,8,1,adminPemba
